task_name,scheduled_date,status,notes
Daily Kitchen Deep Clean,2025-08-01,completed,Kitchen deep clean completed successfully
HVAC Filter Replacement,2025-07-15,overdue,HVAC filter replacement overdue - need to reschedule
Fire System Inspection,2025-08-01,pending,Fire system monthly inspection due
Pest Control Service,2025-08-20,pending,Pest control scheduled with vendor
Grease Trap Cleaning,2025-07-27,overdue,Grease trap cleaning overdue - high priority
Equipment Calibration,2025-08-10,pending,Equipment calibration scheduled for next week
Floor Deep Cleaning,2025-08-02,completed,Weekly floor cleaning completed
Refrigeration Service,2025-10-01,pending,Quarterly refrigeration service upcoming
Restroom Maintenance,2025-08-01,completed,Daily restroom maintenance completed
Window Cleaning,2025-08-05,pending,Weekly window cleaning scheduled
Ice Machine Cleaning,2025-08-03,pending,Bi-weekly ice machine cleaning due
Exhaust Hood Cleaning,2025-08-15,pending,Monthly exhaust hood cleaning scheduled
Walk-in Cooler Sanitization,2025-08-02,completed,Walk-in cooler sanitized and organized
Oven Deep Clean,2025-08-01,overdue,Oven deep clean missed yesterday
Bar Equipment Maintenance,2025-08-03,pending,Bar equipment maintenance this weekend
